# ----------------------------------------
# Twitter Swarm NLP
# Top Events
# 20110501-20111112
# ----------------------------------------

Event Action	Total Events	Unique Events	Event Value	Avg. Value
http://dbpedia.org/resource/Twitter	632	281	"-8,693,778,619,961,294,848"	"-13,755,978,829,052,682.00"
http://dbpedia.org/resource/Google	433	223	"-5,617,796,404,333,228,032"	"-12,974,125,645,111,382.00"
http://dbpedia.org/resource/Facebook	408	225	"-3,211,372,055,570,022,912"	"-7,871,009,940,122,605.00"
http://dbpedia.org/resource/Search_engine_optimization	316	65	"-2,872,343,772,917,907,456"	"-9,089,695,483,917,428.00"
http://dbpedia.org/resource/United_States	296	162	"-3,835,858,044,942,340,096"	"-12,958,979,881,561,960.00"
http://dbpedia.org/resource/Apple_Inc.	182	103	"7,810,580,041,378,570,240"	"42,915,274,952,629,504.00"
http://dbpedia.org/resource/Fianna_Fáil	167	44	"6,517,020,445,168,734,208"	"39,024,074,521,968,472.00"
http://dbpedia.org/resource/IPhone	162	95	"7,245,200,737,964,822,528"	"44,723,461,345,461,864.00"
http://dbpedia.org/resource/Microsoft	128	74	"2,243,475,489,063,329,792"	"17,527,152,258,307,264.00"
http://dbpedia.org/resource/IPad	125	88	"3,374,858,276,142,485,504"	"26,998,866,209,139,884.00"
http://dbpedia.org/resource/Allah	118	62	"4,555,898,453,109,047,296"	"38,609,308,924,652,944.00"
http://dbpedia.org/resource/Barack_Obama	117	75	"4,962,773,807,080,546,304"	"42,416,870,145,987,576.00"
http://dbpedia.org/resource/London	116	81	"5,387,597,718,835,941,376"	"46,444,807,920,999,496.00"
http://dbpedia.org/resource/Linked_Data	115	46	"2,794,397,437,646,888,960"	"24,299,108,153,451,208.00"
http://dbpedia.org/resource/Milan	112	53	"2,661,516,155,053,858,816"	"23,763,537,098,695,168.00"
http://dbpedia.org/resource/Libya	104	61	"5,245,154,592,175,943,680"	"50,434,178,770,922,536.00"
http://dbpedia.org/resource/YouTube	103	79	"4,710,308,756,881,653,760"	"45,731,152,979,433,528.00"
// http://dbpedia.org/resource/charset-error	102	64	"5,055,791,800,952,905,728"	"49,566,586,283,852,016.00"
http://dbpedia.org/resource/Newcastle_United_F.C.	97	2	"-5,757,946,801,394,229,248"	"-59,360,276,303,033,288.00"
http://dbpedia.org/resource/Madonna_(entertainer)	92	8	"9,215,133,544,064,294,912"	"100,164,495,044,177,120.00"
http://dbpedia.org/resource/United_Kingdom	90	67	"3,033,823,192,284,868,608"	"33,709,146,580,942,984.00"
http://dbpedia.org/resource/Internet	89	71	"2,147,511,521,287,778,304"	"24,129,342,935,817,732.00"
http://dbpedia.org/resource/Android_(operating_system)	87	57	"2,286,385,844,722,667,520"	"26,280,297,065,777,788.00"
http://dbpedia.org/resource/List_of_Big_Brother_2006_housemates_(UK)	87	1	"186,831,077,289"	"2,147,483,647.00"
http://dbpedia.org/resource/Egypt	86	22	"8,367,049,942,330,658,816"	"97,291,278,399,193,712.00"
http://dbpedia.org/resource/Silvio_Berlusconi	86	58	"3,610,704,428,430,364,672"	"41,984,935,214,306,568.00"
http://dbpedia.org/resource/Norway	84	14	"7,978,069,381,373,509,632"	"94,977,016,444,922,736.00"
http://dbpedia.org/resource/WikiLeaks	84	39	"4,256,747,164,389,388,288"	"50,675,561,480,826,048.00"
http://dbpedia.org/resource/World	84	63	"4,866,027,524,131,258,368"	"57,928,899,096,800,696.00"
http://dbpedia.org/resource/Chelsea_F.C.	81	20	"3,540,424,620,110,516,224"	"43,708,945,927,290,320.00"
http://dbpedia.org/resource/Europe	78	61	"3,216,487,545,726,390,272"	"41,237,019,817,005,000.00"
http://dbpedia.org/resource/Hazel_Blears	78	1	"7,936,634,532,309,413,888"	"101,751,724,773,197,616.00"
http://dbpedia.org/resource/Birthday	77	19	"7,228,066,812,025,552,896"	"93,870,997,558,773,408.00"
http://dbpedia.org/resource/Arsenal_F.C.	72	22	"8,195,568,464,988,577,792"	"113,827,339,791,508,032.00"
http://dbpedia.org/resource/Barcelona	72	45	"2,887,023,261,076,242,432"	"40,097,545,292,725,592.00"
http://dbpedia.org/resource/Hannah_Montana	72	2	"154,618,822,584"	"2,147,483,647.00"
// http://dbpedia.org/resource/I_Will_(Do_song)	72	15	"-9,038,543,977,542,299,648"	"-125,535,333,021,420,832.00"
http://dbpedia.org/resource/Avui	69	31	"2,917,113,960,203,304,960"	"42,277,013,915,989,928.00"
http://dbpedia.org/resource/Syria	69	44	"4,678,667,439,508,422,656"	"67,806,774,485,629,312.00"
http://dbpedia.org/resource/Madrid	68	33	"2,649,635,889,817,780,224"	"38,965,233,673,790,888.00"
http://dbpedia.org/resource/Roman_Abramovich	68	1	"146,028,887,996"	"2,147,483,647.00"
http://dbpedia.org/resource/World_Wide_Web	68	50	"2,651,273,766,137,651,200"	"38,989,320,090,259,576.00"
http://dbpedia.org/resource/Social_media	66	48	"4,784,785,118,304,071,680"	"72,496,744,216,728,352.00"
